dataset,algorithm,n_clusters,purity,ari,davies_bouldin,f_measure,runtime,metric,linkage,param_m,param_alpha,preprocessing
adult,KMeans_Standard,10.0,0.8213218131935629,0.0342605405438508,2.470366570462341,0.3721851670734832,1.61647087498568,manhattan,,,,Original
adult,GaussianMixture,,0.8135620981941771,0.0669945711724175,2.688114354222171,0.4063505149016359,4.913853542006109,,,,,Original
adult,FCM_Suppressed_0.75,9.0,0.8127840792760329,0.0531774480749833,2.742456595268688,0.3825738410355113,3.61467041700962,euclidean,,1.5,0.75,Original
adult,FCM_Suppressed_0.5,10.0,0.8119446378117194,0.0261428451295686,2.5620298573185676,0.3246493127324807,1.8680552499718033,euclidean,,1.5,0.5,Original
adult,FCM_Standard,10.0,0.7999467671266532,0.0910199141223832,3.4803540141644125,0.531050397167078,6.330252791987732,euclidean,,1.5,1.0,Original
adult,KMeans_FEKM,10.0,0.779308791613775,0.0013623614397584,1.162395141590939,0.3384087365240211,4.543550542090088,,,,,PCA_5D
adult,Kernel_KMeans,8.0,0.7785921952418001,0.0084635920733765,0.7407610535009163,0.3289679366066591,248.916115333006,,,,,PCA_3D
adult,Agglomerative,10.0,0.7607591826706523,-1.8009191050161954e-05,0.6985874508402887,0.7496809561348743,32.437255917000584,manhattan,single,,,Original
mushroom,FCM_Suppressed_0.5,9.0,0.6361398325947809,0.3296552576796173,1.8615193537631456,0.591677224246423,0.1891204999992624,euclidean,,2.5,0.5,Original
mushroom,KMeans_Standard,10.0,0.6346627277203348,0.3144862964724804,1.553197666476049,0.5720812262763239,0.2016665409901179,manhattan,,,,Original
mushroom,FCM_Suppressed_0.75,10.0,0.621861152141802,0.3101733966872167,1.821409208252618,0.5747419354099869,0.2908235839859117,euclidean,,2.5,0.75,Original
mushroom,GaussianMixture,,0.6110290497291975,0.2628532943658964,1.9180858929962312,0.5184959478843475,0.6272643750126008,,,,,Original
mushroom,KMeans_FEKM,10.0,0.6070901033973413,0.293793979376214,1.46219343849421,0.567430440080823,1.3382795420184266,manhattan,,,,Original
mushroom,Kernel_KMeans,10.0,0.6056129985228951,0.3053288584801464,0.7950825537592291,0.5706616905606218,1.6405760422348976,,,,,PCA_5D
mushroom,Agglomerative,10.0,0.5923190546528804,0.2703448354273204,1.5392763428944642,0.5391730694905096,0.8779533329943661,euclidean,complete,,,Original
mushroom,FCM_Standard,10.0,0.560192023633678,0.2906296073366776,4.132764763488715,0.5622063446761906,2.312460374989314,euclidean,,1.5,1.0,Original
pen-based,GaussianMixture,,0.7874818049490538,0.6571700361975387,1.7720803562638932,0.7944477725827641,0.4851960420201067,,,,,Original
pen-based,FCM_Suppressed_0.75,10.0,0.7722889374090247,0.6000313207192075,1.363184409170438,0.7637778114661224,0.0811854169878643,euclidean,,2.0,0.75,Original
pen-based,FCM_Standard,10.0,0.7706513828238719,0.5963638037595288,1.3677085197551568,0.7622656273849309,0.1488174999831244,euclidean,,1.5,1.0,Original
pen-based,FCM_Suppressed_0.5,10.0,0.7697416302765647,0.5993237300577506,1.3581655295774906,0.7607854567823377,0.0576829579949844,euclidean,,2.0,0.5,Original
pen-based,KMeans_Standard,10.0,0.7569141193595342,0.622072195619917,1.4189284316926272,0.7484981560463826,0.0362838750006631,euclidean,,,,Original
pen-based,KMeans_FEKM,10.0,0.7004184861717613,0.5118775089438066,1.262705991669002,0.6818924054083106,0.2873698330076877,euclidean,,,,Original
pen-based,Kernel_KMeans,9.0,0.6939592430858806,0.5325201258982621,1.3228940837285,0.7077136730081282,15.318295208009658,,,,,Original
pen-based,Agglomerative,10.0,0.5768740902474527,0.386765910861614,1.5281163554340171,0.5511579791481692,0.9947275840095244,manhattan,complete,,,Original
