dataset,algorithm,n_clusters,metric,linkage,runtime_sec,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood
adult,Agglomerative,2.0,euclidean,complete,181.24146956300012,-0.0019610550673126396,0.9653576839605258,0.37445963318299463,0.738879296615433,,,,
adult,Agglomerative,2.0,euclidean,average,190.8719589499999,-0.0014164767254129084,0.9526636910855412,0.4151066368672616,0.7349033615420727,,,,
adult,Agglomerative,2.0,euclidean,single,28.484879374000002,-2.8067313866905326e-05,0.9999795258179436,0.21928517789390817,0.7497295629993657,,,,
adult,Agglomerative,2.0,cosine,complete,186.86120052799993,0.0027948316487156535,0.9526022685393718,0.4260882766448988,0.7353048989872331,,,,
adult,Agglomerative,2.0,cosine,average,189.3509581840001,-2.8067313866905326e-05,0.9999795258179436,0.21928517789390817,0.7497295629993657,,,,
adult,Agglomerative,2.0,cosine,single,36.95277982199991,-2.8067313866905326e-05,0.9999795258179436,0.21928517789390817,0.7497295629993657,,,,
adult,Agglomerative,3.0,euclidean,complete,180.32900262800013,-0.01388243271969409,0.9151549895581671,0.8415204795366754,0.7212357242821313,,,,
adult,Agglomerative,3.0,euclidean,average,192.4741486910002,-0.015944937263580452,0.9042831988862045,0.9157368247247417,0.7172888399698619,,,,
adult,Agglomerative,3.0,euclidean,single,28.670237872000143,-5.613123455399442e-05,0.9999590516358872,0.32043432679622924,0.7497210412668203,,,,
adult,Agglomerative,3.0,cosine,complete,190.96091999700002,0.0028666769636611807,0.9526022685393718,1.5333685761735254,0.7353048989872331,,,,
adult,Agglomerative,3.0,cosine,average,209.0152953759998,0.0016223608098779945,0.955775766758118,0.48919842997193336,0.7361971925006632,,,,
adult,Agglomerative,3.0,cosine,single,37.46140678099982,-0.00011224386826202113,0.9999181032717743,0.23551303140897661,0.7497039972519629,,,,
adult,Agglomerative,4.0,euclidean,complete,199.57794970799978,-0.014030656395701403,0.9151549895581671,1.1406670331196644,0.7212357242821313,,,,
adult,Agglomerative,4.0,euclidean,average,205.9320622099999,-0.01597880288690796,0.9042831988862045,1.0936751157120899,0.7172888399698619,,,,
adult,Agglomerative,4.0,euclidean,single,28.45798878300002,3.3090026210022024e-05,0.9999385774538307,0.47655767014827627,0.749722304964024,,,,
adult,Agglomerative,4.0,cosine,complete,284.20315303200005,0.002864027375785041,0.9526022685393718,1.3316659071740695,0.7353048989872331,,,,
adult,Agglomerative,4.0,cosine,average,277.51133592899987,0.0013184903736251404,0.9555300765734409,0.7890788891434987,0.7360904947096331,,,,
adult,Agglomerative,4.0,cosine,single,39.062486892999914,-0.00016834628722320037,0.9998771549076615,0.41922223138989795,0.7496869525040457,,,,
adult,GaussianMixture,,,,1.5436706660002528,0.08643497572361088,0.8229597477580771,1.6047198009426493,0.7028011407315886,2.0,kmeans,33120.548751406845,-0.31264303352341993
adult,GaussianMixture,,,,1.8232900099997096,0.007139590138181033,0.8434134556324475,1.6187727769871931,0.6988169079293142,2.0,random_from_data,575004.6475351099,-5.859959879513583
adult,GaussianMixture,,,,2.7640048919997753,-0.013426936429536152,0.7487817861676426,5.0283944270175285,0.6582700389714156,3.0,kmeans,-580891.5144302782,5.986317130750937
adult,GaussianMixture,,,,2.7150272109997786,0.052588011753978134,0.6810122435608698,4.001334178267689,0.6627065064261205,3.0,random_from_data,-715755.7012052445,7.366934087212244
adult,GaussianMixture,,,,3.406764550999924,0.004448691947058666,0.7421890995454732,4.811180786921,0.6580757390890524,4.0,kmeans,-733372.3803434873,7.560540416227579
adult,GaussianMixture,,,,2.9749578589999146,0.1332963344927484,0.7796568527087343,10.324798606800325,0.7075941066728905,4.0,random_from_data,-472688.4645049875,4.891895440197731
