dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
adult,PCA_2D,105,2,Kernel_KMeans,2,0,16629.880370415776,71.36726536199967,-0.030643111454708563,0.7607182343065395,0.8159142426100296,0.6008430746308108
adult,PCA_2D,105,2,Kernel_KMeans,3,0,6473.7211805808765,80.34792864999963,0.04302778737948225,0.7607182343065395,0.5396695527963699,0.5480520044220467
adult,PCA_2D,105,2,Kernel_KMeans,4,0,3872.851684236663,108.10776029699991,0.008228653079366212,0.7607182343065395,0.4696811435782623,0.49022545508220483
adult,PCA_2D,105,2,Kernel_KMeans,5,0,2541.4456461833265,94.48924662300033,-0.010281120970096381,0.7607182343065395,0.4629063216712067,0.4271315759315695
adult,PCA_2D,105,2,Kernel_KMeans,6,0,2257.61881263157,280.2751037830003,0.02621317029776399,0.7692969165881823,0.5800549818282023,0.37565201820960714
adult,PCA_2D,105,2,Kernel_KMeans,7,0,1438.7451164115612,308.482075637,0.030001861196016204,0.7692969165881823,0.5440672948839289,0.37565201820960714
adult,PCA_2D,105,2,Kernel_KMeans,8,0,1202.6508363224034,407.70545657799994,0.019355548826089,0.7692969165881823,0.5995407440016074,0.37565201820960714
adult,PCA_2D,105,2,Kernel_KMeans,9,0,1068.0580815918856,429.4034217979997,0.01547583234135226,0.7691331231317309,0.6715433550435151,0.35919951647166953
adult,PCA_2D,105,2,Kernel_KMeans,10,0,1000.695479853538,470.742547242,0.031844608136086805,0.7756848613897874,0.7254846462902472,0.3509299913765872
adult,PCA_3D,105,3,Kernel_KMeans,2,0,16394.674135485875,93.73571021400039,0.18003370104466465,0.7607182343065395,0.8526823527573624,0.735841311269849
adult,PCA_3D,105,3,Kernel_KMeans,3,0,11881.281624713452,172.12478075000035,0.04289187512861667,0.7607182343065395,0.9120788531933496,0.5484418059889513
adult,PCA_3D,105,3,Kernel_KMeans,4,0,10139.41848542876,140.69627723300073,0.006693986273219972,0.7607182343065395,0.9637122574626091,0.4805750687039734
adult,PCA_3D,105,3,Kernel_KMeans,5,0,7726.198946940836,168.9736235649998,0.0460684684088803,0.7780393923262766,0.8390444689208948,0.47867965613998514
adult,PCA_3D,105,3,Kernel_KMeans,6,0,6379.34299903153,346.97556487600013,0.03641819496940218,0.7780393923262766,0.74379839539876,0.4808119450878049
adult,PCA_3D,105,3,Kernel_KMeans,7,0,5560.906434680951,249.91034305999892,0.018450866013675696,0.7784079276032922,0.9218802425772178,0.39873201738186453
adult,PCA_3D,105,3,Kernel_KMeans,8,0,4390.39263476298,247.31209216800016,0.008463592073376566,0.7785921952418001,0.7407610535012776,0.32896793660665913
adult,PCA_3D,105,3,Kernel_KMeans,9,0,3991.543394273133,246.8570777219993,0.010307808658320884,0.7785921952418001,0.7530957949270847,0.32896793660665913
adult,PCA_3D,105,3,Kernel_KMeans,10,0,3787.3081029556442,366.51383034600076,0.004847914441655609,0.7785921952418001,0.7672143841579828,0.3130157485330456
adult,PCA_5D,105,5,Kernel_KMeans,2,0,17039.00627648561,85.17782938500022,0.18003370104466465,0.7607182343065395,1.1221022215229828,0.735841311269849
adult,PCA_5D,105,5,Kernel_KMeans,3,0,13940.657915627224,220.3517255480001,0.042796900008003576,0.7607182343065395,1.3040624390230273,0.5466120991219211
adult,PCA_5D,105,5,Kernel_KMeans,4,0,12671.703969369017,190.18718532399907,0.008309869107399288,0.7607182343065395,1.420387598057575,0.4907011766032665
adult,PCA_5D,105,5,Kernel_KMeans,5,0,11481.276957558812,265.1879262670009,-0.017723723537942954,0.7607182343065395,1.3348026045053563,0.42815124002628857
adult,PCA_5D,105,5,Kernel_KMeans,6,0,10684.857118548696,273.97073186799935,-0.030011485079769282,0.7607182343065395,1.283734949064778,0.42815124002628857
adult,PCA_5D,105,5,Kernel_KMeans,7,0,10379.945261221063,602.3067421270007,-0.030100085291993747,0.7607182343065395,1.3047308244505487,0.42791523048692337
adult,PCA_5D,105,5,Kernel_KMeans,8,0,8576.171347425308,326.6321091150003,-0.0022685632892431333,0.7677204045698375,1.2089731798616494,0.3427615416728459
adult,PCA_5D,105,5,Kernel_KMeans,9,0,7909.759573433559,575.4279238049985,-0.004640062588435412,0.7677204045698375,1.1410888694616734,0.3270338516547947
adult,PCA_5D,105,5,Kernel_KMeans,10,0,7448.1926287022525,485.13182716200026,-0.008107555712033053,0.7676999303877811,1.1216376642815207,0.32705485861709316
